Year,Price,Color,Mileage,Make,Model,City,Item URL
2024,2800000,Dark grey,300,Kia,Sportage,Tagamo3 - New Cairo,https://eg.hatla2ee.com/en/car/kia/sportage/6258710
2021,1200000,Petroleum,131000,Fiat,Tipo,Kafr el-Dawwar,https://eg.hatla2ee.com/en/car/fiat/tipo/6286701
2021,2050000,Black,125000,Hyundai,Tucson Turbo GDI,Nasr city,https://eg.hatla2ee.com/en/car/hyundai/Tucson-Turbo/6286695
2018,2050000,Gray,84000,BMW,X1,Cairo,https://eg.hatla2ee.com/en/car/bmw/x1/6254123
2021,700000,Blue,75000,Chevrolet,Optra,Obour City,https://eg.hatla2ee.com/en/car/chevrolet/optra/6286679
2021,700000,Silver,25000,Chery,Arrizo 5,Obour City,https://eg.hatla2ee.com/en/car/chery/Arrizo-5/6286673
2022,1950000,Blue,33000,Kia,Sportage,Giza,https://eg.hatla2ee.com/en/car/kia/sportage/6262769
2014,400000,Black,238000,Hyundai,Verna,Faiyum,https://eg.hatla2ee.com/en/car/hyundai/verna/6286602
2018,870000,Brown,99000,Ford,Focus,El Haram,https://eg.hatla2ee.com/en/car/ford/focus/6286581
2011,575000,Silver,262000,Nissan,Tiida,Maadi,https://eg.hatla2ee.com/en/car/nissan/tiida/6286779
2014,640000,Silver,180000,Mitsubishi,Lancer Puma,Tagamo3 - New Cairo,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-Puma/6286767
2022,1900000,Black,98000,Opel,Grandland,Nasr city,https://eg.hatla2ee.com/en/car/opel/Grandland/6280913
2022,830000,Red,67000,Nissan,Sunny,Alexandria,https://eg.hatla2ee.com/en/car/nissan/sunny/6283629
2001,150000,White,180000,Fiat,Uno,Alexandria,https://eg.hatla2ee.com/en/car/fiat/uno/6286515
2002,325000,Gray,253000,Kia,Spectra,Al Shorouk,https://eg.hatla2ee.com/en/car/kia/spectra/6286758
2008,650000,Black,199000,Toyota,Corolla,Alexandria,https://eg.hatla2ee.com/en/car/toyota/corolla/6286755
2021,900000,White,240000,Jac,J3,6 October,https://eg.hatla2ee.com/en/car/jac/j3/6286737
2022,1170000,Black,48000,MG,5,Kafr el-Dawwar,https://eg.hatla2ee.com/en/car/moris-garage/mg-5/6286712
2010,285000,White,175000,Hyundai,Verna,Alexandria,https://eg.hatla2ee.com/en/car/hyundai/verna/6286706
2021,1500000,Black,82500,Toyota,Corolla,Cairo,https://eg.hatla2ee.com/en/car/toyota/corolla/6279740
2022,650000,White,150000,Nissan,Sunny,Alexandria,https://eg.hatla2ee.com/en/car/nissan/sunny/6286692
2022,90000,Red,85000,Chevrolet,Optra,Giza,https://eg.hatla2ee.com/en/car/chevrolet/optra/6286685
2003,430000,Black,200000,Skoda,Octavia A4,Alexandria,https://eg.hatla2ee.com/en/car/skoda/Octavia-A4/6274731
